iteration,K
100001,4
100002,4
100003,4
100004,5
100005,4
100006,4
100007,4
100008,4
100009,4
100010,4
100011,5
100012,4
100013,4
100014,5
100015,4
100016,4
100017,4
100018,4
100019,4
100020,5
100021,4
100022,4
100023,4
100024,4
100025,5
100026,4
100027,4
100028,4
100029,5
100030,5
100031,5
100032,6
100033,5
100034,6
100035,6
100036,5
100037,5
100038,5
100039,5
100040,5
100041,5
100042,6
100043,5
100044,5
100045,5
100046,5
100047,5
100048,5
100049,7
100050,5
100051,5
100052,5
100053,5
100054,5
100055,8
100056,8
100057,7
100058,5
100059,6
100060,7
100061,8
100062,8
100063,9
100064,8
100065,7
100066,6
100067,6
100068,5
100069,6
100070,5
100071,5
100072,6
100073,13
100074,8
100075,8
100076,8
100077,8
100078,9
100079,7
100080,8
100081,7
100082,9
100083,7
100084,11
100085,8
100086,9
100087,7
100088,7
100089,8
100090,7
100091,7
100092,8
100093,8
100094,6
100095,6
100096,8
100097,11
100098,7
100099,7
100100,6
100101,6
100102,7
100103,8
100104,9
100105,6
100106,6
100107,6
100108,7
100109,7
100110,9
100111,9
100112,7
100113,8
100114,10
100115,8
100116,10
100117,10
100118,8
100119,7
100120,7
100121,7
100122,8
100123,6
100124,5
100125,5
100126,5
100127,5
100128,6
100129,5
100130,5
100131,5
100132,5
100133,4
100134,4
100135,4
100136,4
100137,4
100138,4
100139,4
100140,4
100141,4
100142,4
100143,4
100144,4
100145,4
100146,4
100147,3
100148,3
100149,3
100150,3
100151,3
100152,3
100153,4
100154,3
100155,3
100156,4
100157,5
100158,3
100159,3
100160,3
100161,5
100162,3
100163,3
100164,3
100165,3
100166,3
100167,3
100168,3
100169,3
100170,3
100171,3
100172,3
100173,3
100174,3
100175,3
100176,4
100177,3
100178,3
100179,3
100180,3
100181,3
100182,3
100183,3
100184,3
100185,3
100186,4
100187,3
100188,5
100189,4
100190,4
100191,5
100192,5
100193,5
100194,5
100195,5
100196,6
100197,7
100198,5
100199,5
100200,4
100201,3
100202,3
100203,3
100204,3
100205,3
100206,3
100207,3
100208,3
100209,3
100210,3
100211,5
100212,3
100213,3
100214,3
100215,3
100216,3
100217,4
100218,3
100219,3
100220,4
100221,3
100222,3
100223,3
100224,3
100225,3
100226,4
100227,4
100228,3
100229,3
100230,3
100231,3
100232,3
100233,3
100234,3
100235,3
100236,4
100237,3
100238,3
100239,3
100240,3
100241,3
100242,3
100243,3
100244,3
100245,3
100246,3
100247,3
100248,3
100249,4
100250,3
100251,5
100252,5
100253,7
100254,6
100255,6
100256,7
100257,7
100258,8
100259,5
100260,6
100261,6
100262,5
100263,6
100264,7
100265,6
100266,6
100267,7
100268,6
100269,6
100270,6
100271,7
100272,6
100273,7
100274,7
100275,7
100276,7
100277,8
100278,9
100279,9
100280,8
100281,9
100282,8
100283,9
100284,10
100285,8
100286,10
100287,9
100288,11
100289,12
100290,9
100291,10
100292,10
100293,8
100294,12
100295,8
100296,9
100297,8
100298,8
100299,10
100300,8
100301,9
100302,9
100303,10
100304,10
100305,9
100306,9
100307,10
100308,11
100309,9
100310,10
100311,9
100312,8
100313,9
100314,7
100315,8
100316,8
100317,8
100318,7
100319,8
100320,8
100321,8
100322,8
100323,9
100324,9
100325,11
100326,10
100327,8
100328,9
100329,9
100330,10
100331,10
100332,11
100333,10
100334,9
100335,8
100336,9
100337,8
100338,7
100339,7
100340,7
100341,8
100342,8
100343,8
100344,6
100345,6
100346,6
100347,8
100348,7
100349,10
100350,10
100351,7
100352,10
100353,9
100354,7
100355,7
100356,8
100357,7
100358,7
100359,9
100360,6
100361,6
100362,6
100363,6
100364,6
100365,7
100366,8
100367,6
100368,6
100369,6
100370,6
100371,6
100372,6
100373,7
100374,8
100375,5
100376,6
100377,6
100378,6
100379,8
100380,6
100381,7
100382,7
100383,9
100384,9
100385,10
100386,10
100387,8
100388,9
100389,9
100390,9
100391,10
100392,10
100393,10
100394,11
100395,13
100396,13
100397,13
100398,13
100399,14
100400,14
100401,16
100402,16
100403,12
100404,11
100405,13
100406,10
100407,11
100408,12
100409,13
100410,11
100411,11
100412,11
100413,11
100414,13
100415,11
100416,12
100417,9
100418,10
100419,9
100420,10
100421,11
100422,9
100423,11
100424,10
100425,10
100426,10
100427,13
100428,14
100429,17
100430,14
100431,16
100432,18
100433,19
100434,24
100435,18
100436,19
100437,15
100438,16
100439,18
100440,15
100441,21
100442,18
100443,16
